"filename"	"CT_General"	"CT_Subtype"	"BTO"	"factor"	"factorGeneID"	"GSE"	"GSM"	"exp_type"
"Stat1_GSM838687_Untreated_ikk_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophages (Ikbke-/-)"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838687"	"tf"
"Stat1_GSM838689_6h_IFNg_ikk_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophages (Ikbke-/-)"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838689"	"tf"
"Stat1_GSM838691_6h_IFNb_ikk_BMM"	"Macrophages"	"[PC] Bone Marrow Macrophages (Ikbke-/-)"	"BTO:0004732"	"Stat1"	20846	"GSE33913"	"GSM838691"	"tf"
"Myb-Activated_GSE22095_Myeloid-Prog"	"Myeloid Progenitors"	"[CL] ERMYB (granulocyte/macrophage precursor)"	"BTO:0004730"	"Myb"	17863	"GSE22095"	"GSM549337-39-41"	"tf"
"Fli1_GSM654874_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Fli1"	14247	"GSE20898"	"GSM654874"	"tf"
"Gata3_GSM523221_DN_T-Cells"	"T-Cells"	"[PC] DN"	"BTO:0001145"	"Gata3"	14462	"GSE20898"	"GSM523221"	"tf"
"Gata3_GSM523222_DP_T-Cells"	"T-Cells"	"[PC] DP"	"BTO:0000782"	"Gata3"	14462	"GSE20898"	"GSM523222"	"tf"
"Gata3_GSM523223_CD4_T-Cells"	"T-Cells"	"[PC] CD4"	""	"Gata3"	14462	"GSE20898"	"GSM523223"	"tf"
"Gata3_GSM523224_CD8_T-Cells"	"T-Cells"	"[PC] CD8"	""	"Gata3"	14462	"GSE20898"	"GSM523224"	"tf"
"Gata3_GSM523225_Th1_T-Cells"	"T-Cells"	"[PC] Th1"	"BTO:0001678"	"Gata3"	14462	"GSE20898"	"GSM523225"	"tf"
"Gata3_GSM523226_Th2_T-Cells"	"T-Cells"	"[PC] Th2"	"BTO:0001679"	"Gata3"	14462	"GSE20898"	"GSM523226"	"tf"
